	SRR26776424.variants.tsv
summarized	[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.4217390999968136), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.37499999992801414), ('XBB* (XBB.X)', 0.07067409997671083), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.04761899993306186), ('Other', 0.0450368000012439), ('Omicron', 0.039930999983077024)]
lineages	JF.1 GA.5 EG.1.3 FL.17.1 FL.19 FL.8 FL.9 FL.28 FL.2.1 BA.3 XCC XBB.1.16.3 HZ.3 C.9 FL.1.2 FT.4 XBB.1.5.39 FT.3 FL.1.1.1 FL.4.5 EG.9 BA.2.85 XBB.3.1
abundances	0.40000000 0.06562410 0.06453205 0.05555560 0.05454550 0.04608226 0.04494380 0.04411760 0.03333330 0.03315500 0.02941180 0.02173910 0.02130320 0.01562500 0.00942890 0.00877193 0.00877193 0.00877193 0.00781250 0.00775194 0.00689655 0.00677600 0.00505000
resid	64.96980045852186
coverage	41.882085409490685
