	SRR26775909.variants.tsv
summarized	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.2857139976329216), ('XBB* (XBB.X)', 0.2781745999586156), ('Other', 0.14520230020438324), ('Omicron', 0.13793099999425074), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.09090909954138073), ('A', 0.062069001561229895)]
lineages	DJ.1.1.1 HE.1 XBL.3.1 XBB.1.5.98 FL.1.2 FT.3.1 FT.3.1.1 A.2.3 FP.2.1 XBB.1.35 GK.1.4 GK.1 FY.2 FY.2.1 FL.1.1.1 XCC GA.5 A.17
abundances	0.13793100 0.13333300 0.12500000 0.11008690 0.06765330 0.05555550 0.05555550 0.04659490 0.03773580 0.03333330 0.03225805 0.03225805 0.03174610 0.02380950 0.02325580 0.02020230 0.01821690 0.01547410
resid	97.47606721213847
coverage	10.062535531552019
